RigProbe 2026-09-24 22:01:42
source	name	actorType	active	skinnedMeshes	uniqueBones	humanoid	rigFamily	playerNameMatch	path
player	LocalPlayer		True	107	397	False	3485f157	205/205 (100%)	LocalPlayer
scene	SeagullRig_-589428		True	4	32	False	6e68c35c	0/32 (0%)	Seagull15/VisualRoot/SeagullRig
scene	SeagullRig_-588978		True	4	32	False	6e68c35c	0/32 (0%)	Seagull14/VisualRoot/SeagullRig
scene	SeagullRig_-588528		True	4	32	False	6e68c35c	0/32 (0%)	Seagull13/VisualRoot/SeagullRig
scene	SeagullRig_-588078		True	4	32	False	6e68c35c	0/32 (0%)	Seagull12/VisualRoot/SeagullRig
scene	SeagullRig_-587628		True	4	32	False	6e68c35c	0/32 (0%)	Seagull11/VisualRoot/SeagullRig
scene	SeagullRig_-587178		True	4	32	False	6e68c35c	0/32 (0%)	Seagull10/VisualRoot/SeagullRig
scene	SeagullRig_-586728		True	4	32	False	6e68c35c	0/32 (0%)	Seagull9/VisualRoot/SeagullRig
scene	SeagullRig_-586278		True	4	32	False	6e68c35c	0/32 (0%)	Seagull8/VisualRoot/SeagullRig
scene	SeagullRig_-585828		True	4	32	False	6e68c35c	0/32 (0%)	Seagull7/VisualRoot/SeagullRig
scene	SeagullRig_-585378		True	4	32	False	6e68c35c	0/32 (0%)	Seagull6/VisualRoot/SeagullRig
scene	SeagullRig_-584928		True	4	32	False	6e68c35c	0/32 (0%)	Seagull5/VisualRoot/SeagullRig
scene	SeagullRig_-584478		True	4	32	False	6e68c35c	0/32 (0%)	Seagull4/VisualRoot/SeagullRig
scene	SeagullRig_-584028		True	4	32	False	6e68c35c	0/32 (0%)	Seagull3/VisualRoot/SeagullRig
scene	SeagullRig_-583578		True	4	32	False	6e68c35c	0/32 (0%)	Seagull2/VisualRoot/SeagullRig
scene	SeagullRig_-583128		True	4	32	False	6e68c35c	0/32 (0%)	Seagull1/VisualRoot/SeagullRig
scene	SeagullRig_-582678		True	4	32	False	6e68c35c	0/32 (0%)	Seagull0/VisualRoot/SeagullRig
scene	_Deform__-407354		False	1	10	False	e79b1505	0/10 (0%)	GameManagers/Pooling/Pool_Greebles/YarrowALOD0(Clone)001/_Deform_
scene	TacticoolCaucasianPoserRig (7)_2933344		True	9	158	False	d31a5f4b	104/158 (65%)	TacticoolCaucasianPoserRig (7)
scene	TacticoolCaucasianPoserRig (8)_2933386		True	9	158	False	d31a5f4b	104/158 (65%)	TacticoolCaucasianPoserRig (8)
scene	RobbyRig_-313934		True	36	93	False	1b02206c	80/93 (86%)	Robby0/VisualRoot/RobbyRig
scene	_Deform__-232546		False	1	47	False	91987a67	0/47 (0%)	GameManagers/Pooling/Pool_SmallBush/FernALOD0(Clone)001/_Deform_
scene	_Deform__-232306		False	1	39	False	941bdb21	1/39 (2%)	GameManagers/Pooling/Pool_SmallBush/RockFernALOD0(Clone)001/_Deform_
scene	_Deform__-229870		False	1	9	False	f64ed7ff	0/9 (0%)	GameManagers/Pooling/Pool_Bushes/SnowbrushALOD0(Clone)004/_Deform_
